#,country,sector,repayment_interval,total_borrowers,total_loan_requested,total_funded_receivable,funding_gap_amount,funding_completion_rate,avg_term_months,avg_loan_size
1,Cambodia,Agriculture,monthly,10488,9763125,9021025,742100,92.4,16.7,930.89
2,Cambodia,Personal Use,monthly,18077,4238200,4160275,77925,98.16,9.8,234.45
3,Cambodia,Housing,monthly,2105,1814600,1753925,60675,96.66,18.9,862.04
4,Cambodia,Education,monthly,1331,1650225,1630475,19750,98.8,41.3,1239.84
5,Cambodia,Food,monthly,1178,1071975,980225,91750,91.44,16.3,910
6,Cambodia,Retail,monthly,319,276425,254725,21700,92.15,16.9,866.54
7,Cambodia,Transportation,monthly,234,249200,235700,13500,94.58,18.3,1064.96
8,Cambodia,Services,monthly,224,196775,180025,16750,91.49,16.5,878.46
9,Cambodia,Construction,monthly,177,156400,150950,5450,96.52,17.7,883.62
10,Cambodia,Arts,monthly,125,97175,97175,0,100,15.6,777.4
11,Cambodia,Arts,bullet,122,53125,53125,0,100,8,435.45
12,Cambodia,Education,bullet,40,45400,45400,0,100,20,1135
13,Cambodia,Clothing,monthly,41,39150,35700,3450,91.19,16.3,954.88
14,Cambodia,Food,irregular,8,36375,36375,0,100,10,4546.88
15,Cambodia,Manufacturing,monthly,42,34100,33000,1100,96.77,16.5,811.9
16,Cambodia,Personal Use,irregular,161,29600,29600,0,100,9,183.85
17,Cambodia,Health,monthly,46,29025,29025,0,100,12.5,630.98
18,Cambodia,Agriculture,bullet,47,21400,21400,0,100,11.1,455.32
19,Cambodia,Arts,irregular,1,20000,20000,0,100,22,20000
20,Cambodia,Agriculture,irregular,22,17375,17375,0,100,10.4,789.77
21,Cambodia,Education,irregular,19,10000,10000,0,100,13.3,526.32
22,Cambodia,Entertainment,monthly,7,7150,5925,1225,82.87,20,1021.43
23,Cambodia,Wholesale,monthly,7,6275,6275,0,100,22.1,896.43
24,Cambodia,Housing,irregular,4,2000,2000,0,100,7.8,500
25,Cambodia,Services,irregular,2,1450,1450,0,100,6.5,725
26,Cambodia,Transportation,irregular,1,750,750,0,100,19,750
27,Cambodia,Construction,irregular,2,525,525,0,100,10,262.5
